State,Year,Population,ViolentCrime,ViolentCrimeRate,MurderManslaughter,MurderManslaughterRate,Rape,RapeRate,Robbery,RobberyRate,AggravatedAssault,AggravatedAssaultRate,PropertyCrime,PropertyCrimeRate,Burglary,BurglaryRate,LarcenyTheft,LarcenyTheftRate,MotorVehicleTheft,MotorVehicleTheftRate,TotalCrime,TotalCrimeRate,Region
Alabama,2017,4874747,25551,524.2,404,8.3,2028,41.6,4217,86.5,18902,387.8,144160,2957.3,31477,645.7,99842,2048.1,12841,263.4,169711,3481.431959,East South Central
Alaska,2017,739795,6133,829,62,8.4,863,116.7,951,128.5,4257,575.4,26204,3542.1,4171,563.8,17775,2402.7,4258,575.6,32337,4371.075771,Pacific
Arizona,2017,7016270,35644,508,416,5.9,3581,51,7440,106,24207,345,204515,2914.9,37627,536.3,147830,2107,19058,271.6,240159,3422.88709,Mountain
Arkansas,2017,3004279,16671,554.9,258,8.6,2053,68.3,1935,64.4,12425,413.6,92489,3078.6,21862,727.7,63374,2109.5,7253,241.4,109160,3633.484107,West South Central
California,2017,39536653,177627,449.3,1830,4.6,14721,37.2,56622,143.2,104454,264.2,987114,2496.7,176690,446.9,642033,1623.9,168391,425.9,1164741,2945.977749,Pacific
Colorado,2017,5607154,20638,368.1,221,3.9,3858,68.8,3838,68.4,12721,226.9,151483,2701.6,22813,406.9,106809,1904.9,21861,389.9,172121,3069.667785,Mountain
Connecticut,2017,3588184,8180,228,102,2.8,837,23.3,2813,78.4,4428,123.4,63509,1769.9,8890,247.8,47310,1318.5,7309,203.7,71689,1997.918724,New England
Delaware,2017,961939,4361,453.4,54,5.6,334,34.7,1082,112.5,2891,300.5,23477,2440.6,3970,412.7,18138,1885.6,1369,142.3,27838,2893.946498,South Atlantic
District of Columbia,2017,693972,6974,1004.9,116,16.7,444,64,2623,378,3791,546.3,29729,4283.9,1809,260.7,25333,3650.4,2587,372.8,36703,5288.830097,South Atlantic
Florida,2017,20984400,85625,408,1057,5,7940,37.8,18597,88.6,58031,276.5,527220,2512.4,88853,423.4,395453,1884.5,42914,204.5,612845,2920.479023,South Atlantic
Georgia,2017,10429379,37258,357.2,703,6.7,2718,26.1,10044,96.3,23793,228.1,298298,2860.2,55374,530.9,216661,2077.4,26263,251.8,335556,3217.411123,South Atlantic
Hawaii,2017,1427538,3577,250.6,39,2.7,567,39.7,1077,75.4,1894,132.7,40392,2829.5,5549,388.7,29574,2071.7,5269,369.1,43969,3080.058114,Pacific
Idaho,2017,1716943,3888,226.4,32,1.9,707,41.2,196,11.4,2953,172,28079,1635.4,5655,329.4,20278,1181.1,2146,125,31967,1861.855635,Mountain
Illinois,2017,12802023,56180,438.8,997,7.8,5556,43.4,17567,137.2,32060,250.4,257497,2011.4,43459,339.5,193157,1508.8,20881,163.1,313677,2450.214314,East North Central
Indiana,2017,6666818,26598,399,397,6,2625,39.4,6600,99,16976,254.6,161132,2416.9,30140,452.1,115591,1733.8,15401,231,187730,2815.886079,East North Central
Iowa,2017,3145711,9230,293.4,104,3.3,1234,39.2,1253,39.8,6639,211,66855,2125.3,15078,479.3,46198,1468.6,5579,177.4,76085,2418.690083,West North Central
Kansas,2017,2913123,12030,413,160,5.5,1627,55.9,1785,61.3,8458,290.3,81593,2800.9,13931,478.2,59816,2053.3,7846,269.3,93623,3213.836148,West North Central
Kentucky,2017,4454189,10056,225.8,263,5.9,1661,37.3,2958,66.4,5174,116.2,94833,2129.1,20195,453.4,64394,1445.7,10244,230,104889,2354.839456,East South Central
Louisiana,2017,4684333,26092,557,582,12.4,1867,39.9,5358,114.4,18285,390.3,157712,3366.8,34265,731.5,112485,2401.3,10962,234,183804,3923.803026,West South Central
Maine,2017,1335907,1617,121,23,1.7,473,35.4,249,18.6,872,65.3,20133,1507.1,3334,249.6,16006,1198.1,793,59.4,21750,1628.107346,New England
Maryland,2017,6052177,30273,500.2,546,9,1691,27.9,11200,185.1,16836,278.2,134496,2222.3,23508,388.4,97420,1609.7,13568,224.2,164769,2722.474904,South Atlantic
Massachusetts,2017,6859819,24560,358,173,2.5,2197,32,4871,71,17319,252.5,98575,1437,17089,249.1,73946,1078,7540,109.9,123135,1795.018207,New England
Michigan,2017,9962311,44826,450,569,5.7,7031,70.6,6488,65.1,30738,308.5,179318,1800,35641,357.8,124104,1245.7,19573,196.5,224144,2249.919722,East North Central
Minnesota,2017,5576606,13291,238.3,113,2,2385,42.8,3621,64.9,7172,128.6,122212,2191.5,18787,336.9,93446,1675.7,9979,178.9,135503,2429.847115,West North Central
Mississippi,2017,2984100,8526,285.7,245,8.2,1091,36.6,2071,69.4,5119,171.5,81581,2733.9,24710,828.1,52240,1750.6,4631,155.2,90107,3019.57039,East South Central
Missouri,2017,6113532,32420,530.3,600,9.8,2729,44.6,6351,103.9,22740,372,173253,2833.9,30081,492,123251,2016,19921,325.9,205673,3364.225459,West North Central
Montana,2017,1050493,3961,377.1,41,3.9,613,58.4,295,28.1,3012,286.7,27225,2591.6,3615,344.1,21018,2000.8,2592,246.7,31186,2968.701362,Mountain
Nebraska,2017,1920076,5873,305.9,43,2.2,1191,62,968,50.4,3671,191.2,43663,2274,6472,337.1,31988,1666,5203,271,49536,2579.897879,West North Central
Nevada,2017,2998039,16667,555.9,274,9.1,1890,63,4841,161.5,9662,322.3,78322,2612.4,20049,668.7,45461,1516.4,12812,427.3,94989,3168.371059,Mountain
New Hampshire,2017,1342795,2668,198.7,14,1,663,49.4,419,31.2,1572,117.1,18555,1381.8,2574,191.7,15066,1122,915,68.1,21223,1580.509311,New England
New Jersey,2017,9005644,20604,228.8,324,3.6,1505,16.7,7895,87.7,10880,120.8,140086,1555.5,23891,265.3,104025,1155.1,12170,135.1,160690,1784.325474,Mid Atlantic
New Mexico,2017,2088070,16359,783.5,148,7.1,1259,60.3,3722,178.3,11230,537.8,82306,3941.7,17917,858.1,52617,2519.9,11772,563.8,98665,4725.176838,Mountain
New York,2017,19849399,70799,356.7,548,2.8,6324,31.9,20108,101.3,43819,220.8,300555,1514.2,35002,176.3,252143,1270.3,13410,67.6,371354,1870.857652,Mid Atlantic
North Carolina,2017,10273419,37364,363.7,591,5.8,2715,26.4,9350,91,24708,240.5,261486,2545.3,64786,630.6,180902,1760.9,15798,153.8,298850,2908.963413,South Atlantic
North Dakota,2017,755393,2125,281.3,10,1.3,399,52.8,183,24.2,1533,202.9,16602,2197.8,2942,389.5,11887,1573.6,1773,234.7,18727,2479.106902,West North Central
Ohio,2017,11658609,34683,297.5,710,6.1,5859,50.3,11605,99.5,16509,141.6,282034,2419.1,58573,502.4,203208,1743,20253,173.7,316717,2716.593377,East North Central
Oklahoma,2017,3930864,17934,456.2,242,6.2,2142,54.5,3000,76.3,12550,319.3,113066,2876.4,28608,727.8,72207,1836.9,12251,311.7,131000,3332.60067,West South Central
Oregon,2017,4142776,11674,281.8,104,2.5,1999,48.3,2432,58.7,7139,172.3,123722,2986.5,17705,427.4,88877,2145.3,17140,413.7,135396,3268.243323,Pacific
Pennsylvania,2017,12805537,40120,313.3,739,5.8,4201,32.8,11793,92.1,23387,182.6,211220,1649.4,32057,250.3,166178,1297.7,12985,101.4,251340,1962.74471,Mid Atlantic
Rhode Island,2017,1059639,2460,232.2,20,1.9,445,42,474,44.7,1521,143.5,18561,1751.6,3217,303.6,13861,1308.1,1483,140,21021,1983.788819,New England
South Carolina,2017,5024369,25432,506.2,390,7.8,2504,49.8,3870,77,18668,371.5,160575,3195.9,31306,623.1,115012,2289.1,14257,283.8,186007,3702.096721,South Atlantic
South Dakota,2017,869666,3771,433.6,25,2.9,595,68.4,238,27.4,2913,335,16317,1876.2,2707,311.3,12227,1405.9,1383,159,20088,2309.852288,West North Central
Tennessee,2017,6715984,43755,651.5,527,7.8,2934,43.7,7862,117.1,32432,482.9,197488,2940.6,38716,576.5,140248,2088.3,18524,275.8,241243,3592.072286,East South Central
